
Host: CHEM9QDFT72ALT

Timers On : Tue May 27 14:35:07 2025
Timers Off: Tue May 27 14:35:25 2025

Wall Time:       18.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.283u      0.000s      0.165w     25 calls
build grid                          :      0.117u      0.000s      0.094w     25 calls
post-process grid                   :      0.150u      0.000s      0.070w     25 calls
DFH: sparsity prep                  :      0.417u      0.067s      0.313w     25 calls
Libint2ERI::Libint2ERI              :      0.567u      0.100s      0.412w     75 calls
DFH: initialize()                   :      0.633u      0.050s      0.392w     25 calls
DFH: AO Construction                :      0.100u      0.000s      0.061w     25 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.042w     25 calls
HF: Form core H                     :      0.000u      0.000s      0.010w     25 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     25 calls
HF: Guess                           :      0.783u      0.167s      0.567w     25 calls
SAD Guess                           :      0.783u      0.167s      0.559w     25 calls
HF: Form G                          :      8.117u      0.250s      5.069w    231 calls
RV: Form V                          :      7.883u      0.250s      4.947w    231 calls
Properties                          :      5.800u      0.033s      3.272w 137324 calls
Functional                          :      3.817u      0.050s      2.649w 137324 calls
V_xc                                :      2.833u      0.033s      1.563w  92819 calls
JK: D                               :      0.000u      0.000s      0.001w    342 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    342 calls
JK: JK                              :      0.417u      0.000s      0.273w    342 calls
DFH: compute_JK()                   :      0.417u      0.000s      0.273w    342 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    342 calls
DFH: compute_J                      :      0.017u      0.000s      0.016w    342 calls
DFH: compute_K                      :      0.400u      0.000s      0.245w    342 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    342 calls
HF: Form F                          :      0.000u      0.000s      0.000w    231 calls
HF: Form D                          :      0.000u      0.000s      0.000w    231 calls
HF: DIIS                            :      0.300u      0.100s      0.192w    206 calls
HF: Form C                          :      0.017u      0.000s      0.020w    206 calls
RV: Form Vx                         :     13.217u      0.350s      8.157w    111 calls
Derivative Properties               :      5.267u      0.033s      3.402w 109070 calls
V_XCd                               :      3.250u      0.067s      1.895w 109070 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.283u      0.000s      0.165w     25 calls
| build grid                        :      0.117u      0.000s      0.094w     25 calls
