Pdial (inHg),left (cm),right (cm),,Patm =,28.50,inHg,
27.4,0,0,,T =,21.5,°C,
26.2,20,-19,,,,,
25.1,34,-33,,,,,
24.2,49,-48,,"Comments: pdial was changed by 0.5 left and right were changed by 1.  Patm was changed to be about 1 in Hg different from the first Pdial.   First left and right should be 0.   Temperature can change from 19.5-35, data doesn't change much",,,
23.1,64,-63,,,,,
21.7,80,-79,,,,,
20.6,96,-95,,,,,
19.5,109,-108,,,,,
18.2,124,-124,,,,,
17.1,139,-138,,,,,
15.9,155,-154,,,,,
14.8,170,-169,,,,,
13.8,184,-183,,,,,
12.6,199,-199,,,,,
11.5,213,-213,,,,,
10.5,228,-228,,,,,
9.1,244,-244,,,,,
7.9,259,-258,,,,,
6.7,274,-274,,,,,
6.0,284,-284,,,,,
5.4,291,-291,,,,,
4.5,304,-304,,,,,
3.2,318,-318,,,,,
0.7,332,-332,,,,,
