Pdial (inHg),left (cm),right (cm),,Patm =,26.01,inHg,
24.9,0,0,,T =,19.7,°C,
23.7,16,-15,,,,,,
22.6,30,-29,,,,,,
21.7,45,-44,,,,,,
20.6,60,-59,,,,,,
19.2,76,-75,,,,,,
18.1,92,-91,,,,,,
17.0,105,-104,,,,,,
15.7,120,-120,,,,,,
14.6,135,-134,,,,,,
13.4,151,-150,,,,,,
12.3,166,-165,,,,,,
11.3,180,-179,,,,,,
10.1,195,-195,,,,,,
9.0,209,-209,,,,,,
8.0,224,-224,,,,,,
6.6,240,-240,,,,,,
5.4,255,-254,,,,,,
4.2,270,-270,,,,,,
3.5,280,-280,,,,,,
2.9,287,-287,,,,,,
2.0,300,-300,,,,,,
0.7,314,-314,,,,,,
-1.3,329,-329,,,,,,
