
Host: CHEM9QDFT72ALT

Timers On : Mon Jun  2 11:40:51 2025
Timers Off: Mon Jun  2 11:41:26 2025

Wall Time:       34.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      3.333u      0.067s      1.866w     31 calls
Libint2ERI::Libint2ERI              :      0.367u      0.017s      0.223w     93 calls
HF: Form core H                     :      0.017u      0.017s      0.034w     31 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     31 calls
HF: Guess                           :      0.967u      0.133s      0.625w     31 calls
SAD Guess                           :      0.950u      0.133s      0.612w     31 calls
HF: Form G                          :      1.200u      0.017s      0.760w    429 calls
JK: D                               :      0.000u      0.000s      0.001w    429 calls
JK: USO2AO                          :      0.000u      0.000s      0.024w    429 calls
JK: JK                              :      1.100u      0.017s      0.670w    429 calls
PK computes JK                      :      1.083u      0.017s      0.669w    429 calls
JK: AO2USO                          :      0.100u      0.000s      0.062w    429 calls
HF: Form F                          :      0.017u      0.000s      0.001w    429 calls
HF: Form D                          :      0.000u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.817u      0.133s      0.453w    398 calls
HF: Form C                          :      0.083u      0.000s      0.054w    398 calls
ccenergy                            :     18.483u     16.467s     21.557w     31 calls
F build                             :      0.517u      0.500s      0.725w    551 calls
Wmbej build                         :      2.983u      2.617s      3.072w    551 calls
C->Wmbej                            :      0.017u      0.283s      0.191w    551 calls
F->Wmbej                            :      0.883u      1.700s      1.392w    551 calls
E->Wmbej                            :      0.067u      0.483s      0.345w    551 calls
X->Wmbej                            :      1.950u      0.067s      1.090w    551 calls
Z                                   :      3.100u      0.067s      1.717w    551 calls
T2 Build                            :      9.017u      5.750s      8.914w    551 calls
BT2                                 :      6.450u      3.567s      6.013w    551 calls
ABCD:new                            :      6.450u      3.567s      6.012w    551 calls
ABCD:S                              :      1.917u      0.233s      1.718w    551 calls
ABCD:A                              :      2.900u      0.400s      1.728w    551 calls
ABCD:axpy                           :      1.417u      2.583s      2.307w    551 calls
FT2                                 :      0.233u      0.267s      0.283w    551 calls
WmbejT2                             :      1.400u      0.483s      1.106w    551 calls
CT2                                 :      0.517u      0.800s      0.836w    551 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      3.333u      0.067s      1.866w     31 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.017s      0.151w     62 calls
HF: Form core H                     :      0.017u      0.017s      0.034w     31 calls
HF: Form S/X                        :      0.033u      0.000s      0.004w     31 calls
HF: Guess                           :      0.967u      0.133s      0.625w     31 calls
| SAD Guess                         :      0.950u      0.133s      0.612w     31 calls
HF: Form G                          :      1.200u      0.017s      0.760w    429 calls
| JK: D                             :      0.000u      0.000s      0.001w    429 calls
| JK: USO2AO                        :      0.000u      0.000s      0.024w    429 calls
| JK: JK                            :      1.100u      0.017s      0.670w    429 calls
| | PK computes JK                  :      1.083u      0.017s      0.669w    429 calls
| JK: AO2USO                        :      0.100u      0.000s      0.062w    429 calls
HF: Form F                          :      0.017u      0.000s      0.001w    429 calls
HF: Form D                          :      0.000u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.817u      0.133s      0.453w    398 calls
HF: Form C                          :      0.083u      0.000s      0.054w    398 calls
Libint2ERI::Libint2ERI              :      0.150u      0.000s      0.072w     31 calls
ccenergy                            :     18.483u     16.467s     21.557w     31 calls
| F build                           :      0.517u      0.500s      0.725w    551 calls
| Wmbej build                       :      2.983u      2.617s      3.072w    551 calls
| | C->Wmbej                        :      0.017u      0.283s      0.191w    551 calls
| | F->Wmbej                        :      0.883u      1.700s      1.392w    551 calls
| | E->Wmbej                        :      0.067u      0.483s      0.345w    551 calls
| | X->Wmbej                        :      1.950u      0.067s      1.090w    551 calls
| Z                                 :      3.100u      0.067s      1.717w    551 calls
| T2 Build                          :      9.017u      5.750s      8.914w    551 calls
| | BT2                             :      6.450u      3.567s      6.013w    551 calls
| | | ABCD:new                      :      6.450u      3.567s      6.012w    551 calls
| | | | ABCD:S                      :      1.917u      0.233s      1.718w    551 calls
| | | | ABCD:A                      :      2.900u      0.400s      1.728w    551 calls
| | | | ABCD:axpy                   :      1.417u      2.583s      2.307w    551 calls
| | FT2                             :      0.233u      0.267s      0.283w    551 calls
| | WmbejT2                         :      1.400u      0.483s      1.106w    551 calls
| | CT2                             :      0.517u      0.800s      0.836w    551 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Tue Jun  3 17:24:11 2025
Timers Off: Wed Jun  4 14:42:40 2025

Wall Time:    76709.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.733u      0.150s      1.127w    209 calls
build grid                          :      1.017u      0.067s      0.590w    209 calls
post-process grid                   :      0.717u      0.083s      0.531w    209 calls
DFH: sparsity prep                  :      0.333u      0.000s      0.205w    209 calls
Libint2ERI::Libint2ERI              :      0.367u      0.000s      0.206w    639 calls
DFH: initialize()                   :      1.400u      0.150s      1.052w    209 calls
DFH: AO Construction                :      0.150u      0.000s      0.097w    209 calls
DFH: AO-Met. Contraction            :      0.217u      0.000s      0.192w    314 calls
Libint2ErfERI::Libint2ErfERI        :      0.133u      0.000s      0.058w    105 calls
DFH: wAO Construction               :      0.067u      0.000s      0.051w    105 calls
DFH: wAO Copy                       :      0.000u      0.000s      0.003w    105 calls
HF: Form core H                     :      0.017u      0.017s      0.069w    209 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w    209 calls
HF: Guess                           :      2.350u      0.633s      1.684w    209 calls
SAD Guess                           :      2.283u      0.633s      1.620w    207 calls
HF: Form G                          :     54.783u      3.083s     34.779w   1730 calls
RV: Form V                          :     53.667u      2.983s     33.974w   1730 calls
Properties                          :     37.183u      0.950s     23.557w 1159683 calls
Functional                          :     45.000u      0.750s     27.279w 1159683 calls
V_xc                                :     14.767u      0.500s      9.237w 678942 calls
JK: D                               :      0.000u      0.017s      0.006w   2958 calls
JK: USO2AO                          :      0.100u      0.000s      0.032w   2958 calls
JK: JK                              :      4.200u      0.283s      2.797w   2958 calls
DFH: compute_JK()                   :      2.333u      0.117s      1.459w   2958 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   2958 calls
DFH: compute_J                      :      0.133u      0.000s      0.093w   2958 calls
DFH: compute_K                      :      2.183u      0.017s      1.290w   2958 calls
DFH: compute_wK()                   :      1.833u      0.167s      1.331w   2167 calls
JK: AO2USO                          :      0.050u      0.000s      0.058w   2958 calls
HF: Form F                          :      0.000u      0.017s      0.004w   1730 calls
